"","YearMonth","PRCP","states"
"231","2014-03",27.8,3
"232","2014-04",69,7
"233","2014-05",74.7,7
"234","2014-06",30.8,3
"235","2014-07",42.4,4
"236","2014-08",94.4,9
"237","2014-09",14.6,1
"238","2014-10",79.9,8
"239","2014-11",98,10
"240","2014-12",35.8,4
"241","2015-01",65.2,7
"242","2015-02",44.3,4
"243","2015-03",20.1,2
"244","2015-04",23.8,2
"245","2015-05",52.7,5
"246","2015-06",29.3,3
"247","2015-07",73.5,7
"248","2015-08",109.4,11
"249","2015-09",55,6
"250","2015-10",51.5,5
"251","2015-11",54.8,5
"252","2015-12",55.5,6
"253","2016-01",72.3,7
"254","2016-02",35.8,4
"255","2016-03",63.6,6
"256","2016-04",52.7,5
"257","2016-05",47.7,5
"258","2016-06",109.3,11
"259","2016-07",23.4,2
"260","2016-08",45.6,5
"261","2016-09",43.1,4
"262","2016-10",21.7,2
"263","2016-11",67.9,7
"264","2016-12",9.2,1
"265","2017-01",67.5,7
"266","2017-02",45.5,5
"267","2017-03",46,5
"268","2017-04",9.9,1
"269","2017-05",73.5,7
"270","2017-06",53.6,5
"271","2017-07",71.2,7
"272","2017-08",55.8,6
"273","2017-09",75.6,8
"274","2017-10",27.9,3
"275","2017-11",46.7,5
"276","2017-12",88.2,9
"277","2018-01",60.8,6
"278","2018-02",30.6,3
"279","2018-03",110.1,11
"280","2018-04",73.6,7
"281","2018-05",66.1,7
"282","2018-06",10.1,1
"283","2018-07",30,3
"284","2018-08",61.3,6
"285","2018-09",33,3
"286","2018-10",43.6,4
"287","2018-11",54.8,5
"288","2018-12",69.4,7
"289","2019-01",25.7,3
"290","2019-02",48.8,5
"291","2019-03",51.5,5
"292","2019-04",35.8,4
"293","2019-05",48.2,5
"294","2019-06",88.2,9
"295","2019-07",69.6,7
"296","2019-08",56.2,6
"297","2019-09",97,10
"298","2019-10",110.6,11
"299","2019-11",107.3,11
"300","2019-12",99.6,10
"301","2020-01",64.9,6
"302","2020-02",101.4,10
"303","2020-03",44.4,4
"304","2020-04",40.8,4
"305","2020-05",3.8,0
"306","2020-06",70.1,7
"307","2020-07",48.2,5
"308","2020-08",84.2,8
"309","2020-09",31.7,3
"310","2020-10",155.9,16
"311","2020-11",50.8,5
"312","2020-12",91.4,9
"313","2021-01",105.7,11
"314","2021-02",40.5,4
"315","2021-03",30.9,3
"316","2021-04",14.5,1
"317","2021-05",93.6,9
"318","2021-06",81.1,8
"319","2021-07",92.6,9
"320","2021-08",41.2,4
"321","2021-09",43.3,4
"322","2021-10",128.7,13
"323","2021-11",11.5,1
"324","2021-12",73.2,7
"325","2022-01",19.2,2
"326","2022-02",53.5,5
"327","2022-03",47.9,5
"328","2022-04",23.8,2
"329","2022-05",64,6
"330","2022-06",55.3,6
"331","2022-07",22.2,2
"332","2022-08",22.2,2
"333","2022-09",45.8,5
"334","2022-10",69.9,7
"335","2022-11",130.4,13
"336","2022-12",57.6,6
"337","2023-01",61.9,6
"338","2023-02",12,1
"339","2023-03",102.3,10
"340","2023-04",78.8,8
"341","2023-05",31.3,3
"342","2023-06",38.4,4
"343","2023-07",93.6,9
"344","2023-08",76.3,8
"345","2023-09",64.7,6
"346","2023-10",110.3,11
"347","2023-11",88.1,9
"348","2023-12",95.4,10
"349","2024-01",59.7,6
"350","2024-02",113.2,11
"351","2024-03",99.5,10
"352","2024-04",54.7,5
"353","2024-05",81.7,8
"354","2024-06",21.5,2
"355","2024-07",82.3,8
"356","2024-08",31.8,3
"357","2024-09",153.5,15
"358","2024-10",86.3,9
"359","2024-11",67.8,7
"360","2024-12",44.1,4
"361","2025-01",88.2,9
"362","2025-02",57.2,6
"363","2025-03",14.4,1
"364","2025-04",21.8,2
"365","2025-05",39.8,4
"366","2025-06",38.5,4
"367","2025-07",84.1,8
"368","2025-08",40.1,4
